gene_id,eid,chrom,start,end,strand,neighbors,scores,expression,bs,bf,k_on,k_off,k_syn,gene_name,bulk_exp,mean,cv,bulk_exp_label,sc_exp_label,bs_label,bf_label,cv_label,mean_label
ENSG00000122417,E003,chr1,86862006,86862007,-,,,7.062314540059347,31.98533697271513,0.21575409749759225,0.2290383085774323,3.7199012619192655,118.98229536771596,ODF2L,5.509,6.900967511704522,3.426699835681875,1,1,1,1,0,1
ENSG00000143320,E003,chr1,156675608,156675609,-,,,18.12166172106825,57.06418619928416,0.38531784551297005,0.4211687397420415,4.526632734957575,258.30861324339395,CRABP2,95.541,21.98784928225913,1.8524984448223183,1,1,1,1,0,1
ENSG00000143319,E003,chr1,156698231,156698232,-,,,5.456973293768546,28.21298064199138,0.18092096710837818,0.1901449083420036,3.729555494408538,105.22187696698067,ISG20L2,21.71,5.104319742759032,4.182797567758874,1,1,1,0,0,0
ENSG00000143318,E003,chr1,160160363,160160364,+,,,0.1008902077151335,45.42562497794587,0.0017232389619810278,0.0017303701149624,0.4181429298375508,18.994403917980115,CASQ1,1.428,0.0782792068343349,182.96561578854886,0,0,1,0,1,0
ENSG00000143315,E003,chr1,160001780,160001781,-,,,3.9317507418397626,53.91793501218332,0.06795609394014576,0.0722661334496258,1.1394151126903058,61.43490999793544,PIGM,15.004,3.6640522567466034,7.401856320686273,1,1,1,0,0,0
ENSG00000143303,E003,chr1,156698259,156698260,+,,,0.8991097922848664,28.191462907199732,0.03400903870316244,0.0341956592695375,6.231689905176932,175.6804548109665,RRNAD1,9.102,0.9587645531097242,26.124092764853884,1,1,1,0,0,0
ENSG00000143297,E003,chr1,157522305,157522306,-,,,0.0504451038575667,3.8944490083886723,0.005996531938002513,0.0059970698397888,66.85536606406296,260.3648140736517,FCRL5,0.402,0.02335318785972489,207.09688261620977,0,0,0,0,1,0
ENSG00000143294,E003,chr1,156737325,156737326,+,,,6.471810089020772,25.61829077806002,0.24804571248446006,0.2544600759045161,9.840061545192915,252.0855579387587,PRCC,31.907,6.35450718867797,3.6429046867732993,1,1,0,1,0,1
ENSG00000143278,E003,chr1,197036390,197036391,-,,,0.0,0.012721571725478897,0.0009999872785901108,0.001,78.60663930363177,1.0,F13B,0.0,1.2721409889150542e-05,0.0,0,0,0,0,0,0
ENSG00000143257,E003,chr1,161207993,161207994,-,,,0.0207715133531157,1.5048404533599502,0.013766881779877923,0.0137724213011987,34.227379027340426,51.506744572825816,NR1I3,0.002,0.020716960618984332,118.78978332094994,0,0,0,0,1,0
ENSG00000198162,E003,chr1,117910069,117910070,+,,,5.744807121661721,52.47460923070949,0.12469647242791038,0.1295353715231663,3.338074129178207,175.16413551176728,MAN1A2,10.713,6.543398663102538,5.920920665854084,1,1,1,0,0,1
ENSG00000198160,E003,chr1,67390671,67390672,+,,,7.350148367952523,29.61864950204509,0.24813127565885956,0.2705231651153762,2.9977487244076806,88.78926876343385,MIER1,7.0,7.349313284235094,2.732270392597062,1,1,1,1,0,1
ENSG00000143256,E003,chr1,161087827,161087828,-,,,12.237388724035608,16.966618229503414,0.725553085541816,0.8198524952749768,6.308061835372612,107.02647692886772,PFDN2,91.039,12.310182207626225,1.0278653924739078,1,1,0,1,0,1
